                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                 1.6299,                  1.322,                 1.7588,                0.68258,                   0.75,                0.74376,                0.41656,                 1.7266,                 1.3218,                 1.8077,              0.0005075,              0.0005075,              0.0005075
                    122,                   1.61,                  1.375,                 1.7303,                0.70856,                0.86617,                0.81128,                0.43286,                  1.742,                 1.3077,                 1.7793,             0.00050131,             0.00050131,             0.00050131
                    123,                 1.5997,                  1.357,                 1.7377,                0.74234,                0.79314,                0.84862,                0.41948,                 1.7637,                 1.2293,                 1.7867,             0.00049513,             0.00049513,             0.00049513
                    124,                 1.5499,                 1.3147,                 1.6994,                0.75736,                0.76366,                0.81507,                0.39683,                 1.7093,                  1.194,                 1.7877,             0.00048894,             0.00048894,             0.00048894
                    125,                 1.6323,                 1.3146,                 1.7267,                0.77846,                0.79167,                0.81743,                0.41677,                 1.7421,                 1.1999,                 1.8217,             0.00048275,             0.00048275,             0.00048275
                    126,                 1.5984,                 1.3096,                 1.6939,                0.78972,                0.90211,                0.87571,                0.46202,                 1.6751,                 1.1272,                  1.806,             0.00047656,             0.00047656,             0.00047656
                    127,                 1.5203,                 1.2618,                 1.7154,                0.84356,                0.79618,                0.88142,                0.46957,                 1.6822,                 1.1193,                 1.7881,             0.00047038,             0.00047038,             0.00047038
                    128,                 1.5042,                 1.2285,                 1.6845,                0.79084,                0.80955,                0.80227,                0.44931,                  1.624,                 1.2027,                 1.7671,             0.00046419,             0.00046419,             0.00046419
                    129,                 1.5464,                 1.1938,                  1.656,                  0.708,                0.80891,                0.78062,                0.43158,                 1.5874,                 1.2158,                 1.7458,               0.000458,               0.000458,               0.000458
                    130,                 1.5314,                 1.2288,                 1.7435,                0.79952,                0.76137,                0.82927,                0.45644,                 1.6002,                 1.1594,                 1.7365,             0.00045181,             0.00045181,             0.00045181
                    131,                 1.4613,                 1.1581,                 1.6803,                0.81158,                0.78102,                0.85966,                0.47799,                 1.6021,                 1.1584,                 1.7295,             0.00044563,             0.00044563,             0.00044563
                    132,                 1.4869,                 1.1975,                 1.6834,                0.77066,                0.76213,                 0.8366,                0.46255,                 1.6315,                 1.1892,                 1.7425,             0.00043944,             0.00043944,             0.00043944
                    133,                 1.5278,                 1.2145,                 1.6533,                0.80857,                0.76756,                0.83131,                0.44219,                 1.6266,                 1.2131,                 1.7609,             0.00043325,             0.00043325,             0.00043325
                    134,                 1.4595,                   1.17,                 1.6625,                 0.7748,                0.70602,                0.79284,                0.44213,                 1.5566,                 1.1894,                 1.7493,             0.00042706,             0.00042706,             0.00042706
                    135,                 1.4875,                  1.224,                 1.6955,                0.80124,                0.83609,                0.81689,                0.46058,                 1.5432,                  1.141,                 1.7299,             0.00042087,             0.00042087,             0.00042087
                    136,                 1.4935,                 1.2106,                 1.6556,                0.75041,                0.85786,                0.83843,                0.47279,                 1.5684,                 1.1311,                 1.7245,             0.00041469,             0.00041469,             0.00041469
                    137,                 1.4572,                 1.1734,                 1.6766,                0.73408,                0.78772,                0.84315,                0.46583,                 1.5326,                 1.1291,                 1.7028,              0.0004085,              0.0004085,              0.0004085
                    138,                 1.4444,                  1.166,                 1.6333,                0.75587,                   0.75,                0.81287,                0.45876,                 1.5767,                 1.1047,                 1.6954,             0.00040231,             0.00040231,             0.00040231
                    139,                 1.4554,                 1.1533,                 1.6585,                 0.8044,                0.78658,                 0.8332,                   0.45,                 1.6526,                   1.13,                 1.7315,             0.00039613,             0.00039613,             0.00039613
                    140,                 1.3932,                 1.1398,                 1.5978,                0.80944,                0.83559,                0.86025,                0.46895,                 1.6254,                 1.1072,                 1.7217,             0.00038994,             0.00038994,             0.00038994
                    141,                 1.3697,                 1.1313,                 1.6229,                0.79448,                  0.875,                0.86973,                0.48796,                 1.5879,                 1.0831,                 1.7081,             0.00038375,             0.00038375,             0.00038375
                    142,                  1.473,                 1.1402,                 1.6465,                0.85246,                0.88988,                0.87334,                0.48549,                 1.5677,                 1.0386,                 1.6943,             0.00037756,             0.00037756,             0.00037756
                    143,                  1.403,                 1.1288,                 1.6336,                0.86113,                0.92585,                0.89604,                0.50808,                 1.6195,                 1.0202,                 1.7218,             0.00037138,             0.00037138,             0.00037138
                    144,                 1.4381,                 1.0891,                 1.6158,                0.84111,                0.87349,                0.88173,                0.51521,                 1.6039,                 1.0366,                 1.7315,             0.00036519,             0.00036519,             0.00036519
                    145,                 1.4571,                 1.1201,                 1.6516,                0.81627,                0.79774,                0.85719,                0.51571,                 1.5277,                 1.0152,                 1.7253,               0.000359,               0.000359,               0.000359
                    146,                 1.4827,                 1.2142,                 1.6745,                0.82059,                0.72361,                0.86669,                0.49451,                 1.5676,                 1.0701,                 1.7775,             0.00035281,             0.00035281,             0.00035281
                    147,                 1.4044,                 1.0856,                 1.6109,                0.77029,                 0.7285,                0.85601,                0.48212,                 1.5648,                 1.1314,                 1.7449,             0.00034663,             0.00034663,             0.00034663
                    148,                  1.383,                  1.119,                 1.5848,                0.65879,                0.87897,                0.83702,                0.50708,                 1.4972,                 1.0823,                 1.6936,             0.00034044,             0.00034044,             0.00034044
                    149,                 1.4039,                 1.0882,                 1.6079,                0.70752,                0.89209,                0.85599,                0.49647,                 1.5168,                 1.0576,                 1.6975,             0.00033425,             0.00033425,             0.00033425
                    150,                 1.4114,                 1.1326,                 1.6359,                0.82587,                0.74445,                0.86405,                0.51819,                 1.5107,                 1.0116,                 1.6872,             0.00032806,             0.00032806,             0.00032806
