                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.90294,                0.65644,                 1.0423,                0.89517,                      1,                0.99192,                0.66148,                 1.1159,                0.78152,                 1.3094,             0.00082925,             0.00082925,             0.00082925
                     70,                 0.8908,                0.64537,                 1.0775,                 0.9163,                0.93818,                0.97659,                0.64388,                 1.1441,                0.77272,                 1.3101,             0.00082306,             0.00082306,             0.00082306
                     71,                0.90605,                0.64976,                 1.0621,                0.89061,                0.93341,                 0.9673,                0.64713,                 1.1311,                0.75331,                  1.292,             0.00081688,             0.00081688,             0.00081688
                     72,                0.88229,                 0.6409,                 1.0602,                0.91098,                 0.9753,                0.97256,                 0.6438,                 1.1421,                0.84378,                 1.2891,             0.00081069,             0.00081069,             0.00081069
                     73,                 0.8362,                0.60534,                 1.0537,                0.91055,                0.97917,                0.97525,                0.66757,                 1.1174,                0.76151,                 1.2571,              0.0008045,              0.0008045,              0.0008045
                     74,                0.85083,                0.63708,                 1.0682,                0.88682,                0.97917,                0.97567,                0.65561,                 1.1344,                0.72808,                 1.2537,             0.00079831,             0.00079831,             0.00079831
                     75,                0.86903,                0.60775,                 1.0584,                0.93704,                0.95833,                 0.9717,                0.63995,                 1.1257,                0.71095,                 1.2847,             0.00079213,             0.00079213,             0.00079213
                     76,                0.84892,                0.58488,                 1.0332,                0.97052,                0.94962,                0.97101,                0.66568,                 1.1246,                0.73096,                 1.2875,             0.00078594,             0.00078594,             0.00078594
                     77,                0.81006,                0.57329,                 1.0189,                0.93619,                 0.9582,                0.97174,                0.66305,                 1.1447,                0.71367,                 1.3011,             0.00077975,             0.00077975,             0.00077975
                     78,                 0.8226,                0.59657,                 1.0202,                0.96462,                0.93302,                0.98192,                0.69189,                 1.1106,                0.66591,                 1.2737,             0.00077356,             0.00077356,             0.00077356
                     79,                0.84532,                 0.6144,                 1.0533,                0.92304,                 0.9678,                0.98171,                0.68314,                 1.0555,                0.64517,                 1.2133,             0.00076738,             0.00076738,             0.00076738
                     80,                0.86415,                0.61546,                 1.0314,                0.91036,                 0.9302,                0.96898,                0.68118,                 1.0693,                 0.6658,                 1.1987,             0.00076119,             0.00076119,             0.00076119
                     81,                 0.8667,                0.59018,                  1.036,                0.90069,                0.97917,                0.97549,                0.66199,                 1.1135,                0.67786,                 1.2096,               0.000755,               0.000755,               0.000755
                     82,                0.84605,                0.59853,                 1.0393,                0.93085,                0.96066,                0.97435,                0.67691,                 1.1121,                0.65713,                 1.2205,             0.00074881,             0.00074881,             0.00074881
                     83,                0.85696,                0.59205,                  1.042,                0.94419,                 0.9483,                0.97478,                0.67714,                 1.1176,                0.64469,                 1.2293,             0.00074263,             0.00074263,             0.00074263
                     84,                0.87176,                 0.6026,                  1.027,                0.95183,                 0.9375,                0.96907,                0.68329,                 1.1098,                0.62386,                 1.2231,             0.00073644,             0.00073644,             0.00073644
                     85,                0.80146,                0.58241,                 0.9975,                0.97116,                 0.9394,                0.97484,                0.68579,                 1.0773,                0.63544,                 1.2236,             0.00073025,             0.00073025,             0.00073025
                     86,                0.82226,                0.58934,                 1.0573,                0.95317,                0.96358,                0.97642,                0.68777,                 1.0242,                0.66003,                 1.2138,             0.00072406,             0.00072406,             0.00072406
                     87,                0.80318,                0.56522,                 1.0299,                0.94604,                0.97543,                0.97848,                0.66793,                 1.0834,                0.67193,                 1.2622,             0.00071788,             0.00071788,             0.00071788
                     88,                 0.8287,                 0.5855,                   1.01,                0.96488,                0.96567,                  0.981,                0.68161,                 1.0681,                0.65824,                 1.2318,             0.00071169,             0.00071169,             0.00071169
                     89,                0.77617,                0.55625,                0.99775,                0.98341,                0.95954,                0.98833,                0.69123,                  1.057,                0.63379,                 1.2665,              0.0007055,              0.0007055,              0.0007055
                     90,                0.78639,                0.55856,                 1.0268,                0.96952,                0.94997,                0.98946,                 0.7086,                 1.0407,                0.60649,                 1.2497,             0.00069931,             0.00069931,             0.00069931
                     91,                0.76943,                0.57229,                 1.0089,                0.98432,                0.96131,                0.98763,                0.69451,                 1.0526,                0.61555,                 1.1905,             0.00069313,             0.00069313,             0.00069313
                     92,                0.79355,                0.54328,                 1.0123,                0.98848,                0.95937,                0.98389,                0.69534,                 1.0519,                0.63799,                 1.1995,             0.00068694,             0.00068694,             0.00068694
                     93,                0.80845,                0.55082,                 1.0326,                0.98173,                0.93707,                0.97606,                0.67643,                 1.0358,                0.64945,                 1.2057,             0.00068075,             0.00068075,             0.00068075
                     94,                0.76929,                0.53392,                0.99105,                0.98021,                 0.9739,                0.98132,                0.69508,                 1.0293,                0.63418,                 1.2577,             0.00067456,             0.00067456,             0.00067456
                     95,                0.78067,                0.53368,                 1.0229,                0.95287,                0.97917,                0.98274,                0.71588,                 1.0294,                0.61945,                 1.2003,             0.00066838,             0.00066838,             0.00066838
                     96,                0.79967,                0.55257,                  1.014,                0.97806,                0.97917,                0.98328,                 0.7078,                 1.0406,                 0.5789,                  1.158,             0.00066219,             0.00066219,             0.00066219
